num,title,authors
1,"Automate the Boring Stuff with Python, 2nd Edition",['Al Sweigart']
2,Learning Python,['Mark Lutz']
3,Python Programming,['John M. Zelle']
4,Python Crash Course,['Eric Matthes']
5,Introduction to Python Programming,"['Gowrishankar S', 'Veena A']"
6,Python for Kids,['Jason R. Briggs']
7,Python Programming for Beginners: A Comprehensive Crash Course With Practical Exercises to Quickly Learn Coding and Programming for Data Analysis and Machine Learning,['Anthony Adams']
8,THE GUN RIGHTS WAR,['Mark Lutz']
9,"Introduction to Computation and Programming Using Python, second edition",['John V. Guttag']
10,Programming With Python,['Vaibhav Gondaliya']
11,Python Tutorial 3.11.3,"['Guido Van Rossum', 'Python Development Team']"
12,Python Programming in Context,"['Bradley N. Miller', 'David L. Ranum', 'Julie Anderson']"
13,Bite-Size Python,['April Speight']
14,Get Programming,['Ana Bell']
15,Python Programming in Context,"['Bradley N. Miller', 'David L. Ranum']"
16,Learning Python,['Mark Lutz']
17,Python,['Paul Jones']
18,Python for Everybody,['Charles R. Severance']
19,The Big Book of Small Python Projects,['Al Sweigart']
20,Core Python Programming,['Wesley Chun']
21,Learn Python 3 the Hard Way,['Zed A. Shaw']
22,Learn Python Programming,"['Fabrizio Romano', 'Heinrich Kruger']"
